sim_time, AUV_mk4?world_pose/position/z
50.916, -0.00200646
50.917, -0.00200657
50.918, -0.00200669
50.919, -0.0020068
50.92, -0.00200691
50.921, -0.00200703
50.922, -0.00200714
50.923, -0.00200726
50.924, -0.00200737
50.925, -0.00200749
50.926, -0.0020076
50.927, -0.00200772
50.928, -0.00200783
50.929, -0.00200794
50.93, -0.00200806
50.931, -0.00200817
50.932, -0.00200829
50.933, -0.0020084
50.934, -0.00200852
50.935, -0.00200863
50.936, -0.00200875
50.937, -0.00200886
50.938, -0.00200898
50.939, -0.00200909
50.94, -0.00200921
50.941, -0.00200932
50.942, -0.00200943
50.943, -0.00200955
50.944, -0.00200966
50.945, -0.00200978
50.946, -0.00200989
50.947, -0.00201001
50.948, -0.00201012
50.949, -0.00201024
50.95, -0.00201035
50.951, -0.00201047
50.952, -0.00201058
50.953, -0.0020107
50.954, -0.00201081
50.955, -0.00201093
50.956, -0.00201104
50.957, -0.00201116
50.958, -0.00201127
50.959, -0.00201139
50.96, -0.0020115
50.961, -0.00201162
50.962, -0.00201173
50.963, -0.00201185
50.964, -0.00201196
50.965, -0.00201208
50.966, -0.00201219
50.967, -0.00201231
50.968, -0.00201242
50.969, -0.00201254
50.97, -0.00201265
50.971, -0.00201277
50.972, -0.00201288
50.973, -0.002013
50.974, -0.00201311
50.975, -0.00201323
50.976, -0.00201334
50.977, -0.00201346
50.978, -0.00201357
50.979, -0.00201369
50.98, -0.0020138
50.981, -0.00201392
50.982, -0.00201404
50.983, -0.00201415
50.984, -0.00201427
50.985, -0.00201438
50.986, -0.0020145
50.987, -0.00201461
50.988, -0.00201473
50.989, -0.00201484
50.99, -0.00201496
50.991, -0.00201507
50.992, -0.00201519
50.993, -0.00201531
50.994, -0.00201542
50.995, -0.00201554
50.996, -0.00201565
50.997, -0.00201577
50.998, -0.00201588
50.999, -0.002016
51, -0.00201611
51.001, -0.00201623
51.002, -0.00201635
51.003, -0.00201646
51.004, -0.00201658
51.005, -0.00201669
51.006, -0.00201681
51.007, -0.00201692
51.008, -0.00201704
51.009, -0.00201716
51.01, -0.00201727
51.011, -0.00201739
51.012, -0.0020175
51.013, -0.00201762
51.014, -0.00201773
51.015, -0.00201785
51.016, -0.00201796
51.017, -0.00201808
51.018, -0.00201819
51.019, -0.00201831
51.02, -0.00201842
51.021, -0.00201853
51.022, -0.00201865
51.023, -0.00201876
51.024, -0.00201888
51.025, -0.00201899
